# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
TOI-263 b,Confirmed,61.6,4.0,4.0,,,,0.91,0.07,0.07,0.5568143,3.2e-06,3.2e-06,0.0098,0.0008,0.0008,0.017,0.01,0.01,87.0,1.6,1.6,,2019,2021-03-23,93.11,16.4,17.8,,,,,,,2458386.17184,0.00067,0.00067,,,,,,,0.29,0.17,0.12,2458386.17146,0.0006,0.0006,25736.67,422.0,469.3,1020.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-263,37.10829167533,-25.09733056842,,,,,,279.0,7.0,7.0,,,,0.4,0.1,0.1,0.405,0.077,0.077,M3.5V,4.75,4.35,4.35,3250.0,140.0,140.0,,,"TOI 263, TIC120916706"
TOI-269 b,Confirmed,0.0277,0.0044,0.0044,,,,0.2471,0.0107,0.0107,3.6977104,3.7e-06,3.7e-06,0.0345,0.0015,0.0015,0.425,0.086,0.082,88.14,0.9,0.78,,2021,2021-05-03,74.0,15.0,15.0,,,,,,,2458381.84668,0.00033,0.00033,,,,,,,0.55,0.22,0.12,,,,7.6,1.2,1.2,531.0,25.0,25.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-269,75.845833341,-54.17777779,14.4,,,,,57.023,0.076,0.076,-0.29,0.12,0.12,0.3917,0.0095,0.0095,0.398,0.012,0.012,M2V,,,,3514.0,70.0,70.0,,,
TOI-270 b,Confirmed,0.006,0.0022,0.0047,,,,0.11125,0.0074,0.0074,3.36008,7e-05,6.5e-05,0.0306,0.0057,0.0033,0.0,,,88.65,1.4,0.85,,2019,2019-03-15,,,,,,,,,,2458461.01464,0.00093,0.00084,,,,,,,,,,,,,,,,528.0,32.0,56.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,TOI-270,68.41666668,-51.956111135,12.6,,,,,22.453,0.021,0.021,-0.17,0.1,0.1,0.4,0.02,0.02,0.38,0.02,0.02,M3.0V,,,,3386.0,131.0,137.0,,,
TOI-270 c,Confirmed,0.0208,0.0088,0.0164,,,,0.2159,0.0116,0.0116,5.660172,3.5e-05,3.5e-05,0.0472,0.0033,0.0033,0.0,,,89.53,0.42,0.3,,2019,2019-03-15,,,,,,,,,,,,,2458463.08481,0.00025,0.00025,,,,,,,,,,,,,424.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,TOI-270,68.41666668,-51.956111135,12.6,,,,,22.453,0.021,0.021,-0.17,0.1,0.1,0.4,0.02,0.02,0.38,0.02,0.02,M3.0V,,,,3386.0,131.0,137.0,,,
TOI-270 d,Confirmed,0.017,0.0066,0.013,,,,0.19,0.0107,0.0107,11.38014,0.00011,0.00011,0.0733,0.0042,0.0042,0.0,,,89.69,0.12,0.16,,2019,2019-03-15,,,,,,,,,,2458469.33834,0.00046,0.00052,,,,,,,,,,,,,,,,340.0,14.0,14.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-270,68.41666668,-51.956111135,12.6,,,,,22.453,0.021,0.021,-0.17,0.1,0.1,0.4,0.02,0.02,0.38,0.02,0.02,M3.0V,,,,3386.0,131.0,137.0,,,
TOI-3331 b,Confirmed,2.27,0.16,0.16,,,,1.158,0.043,0.043,2.0180231,4.4e-06,4.4e-06,0.03144,0.00055,0.0005,0.0,,,85.4,0.38,0.38,,2022,2022-05-25,,,,,,,,,,2459371.653,0.0002,0.0002,,,,,,,0.57,0.03,0.03,,,,360.0,21.0,21.0,1488.0,30.0,30.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-3331,271.325000006,-34.10722223,,,,,,224.9,1.0,1.0,,,,,,,1.06,0.16,0.16,,,,,5521.0,110.0,110.0,,,
TOI-3362 b,Confirmed,5.029,0.046,0.068,,,,1.142,0.043,0.043,18.09547,3e-05,3e-05,0.153,0.003,0.003,0.815,0.032,0.023,89.14,0.068,0.084,,2021,2021-09-09,50.873,9.165,11.085,,,,,,,2458529.325,0.001,0.001,,,,,,,0.27,0.184,0.207,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"TIC-464300749 b, HD 300730 b",,TOI-3362,155.983333352,-56.84305558,10.86,,,,,370.85,4.0,4.0,0.017,0.049,0.057,1.445,0.073,0.069,1.83,0.055,0.055,G5,2.14,0.52,0.66,6532.0,88.0,88.0,,,"HD 300730, TIC-464300749"
TOI-3540 b,Confirmed,1.18,0.14,0.14,,,,2.1,0.7,0.0,3.119999,8e-06,8e-06,0.04289,0.00093,0.00093,0.0,,,81.93,0.0,1.2,,2022,2022-05-25,,,,,,,,,,2458806.68164,0.0003,0.0003,,,,,,,,,,,,,155.0,17.0,17.0,1498.0,22.0,22.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-3540,328.908333346,28.179444458,,,,,,282.4,3.0,3.0,,,,,,,1.34,0.2,0.2,,,,,58.65,110.0,110.0,,,
TOI-3629 b,Confirmed,0.26,0.02,0.02,,,,0.74,0.02,0.02,3.936551,6e-06,6e-06,0.043,0.002,0.002,0.05,0.04,0.05,89.1,0.5,0.5,,2022,2022-01-26,250.0,40.0,200.0,,,,,,,2458784.256,0.001,0.001,,,,,,,0.2,0.1,0.1,,,,45.0,4.0,4.0,690.0,20.0,20.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-3629,359.79166667,39.314166684,14.6,,,,,129.7,0.3,0.3,0.4,0.1,0.1,0.63,0.02,0.02,0.6,0.01,0.02,,7.0,4.0,5.0,3870.0,90.0,90.0,,,
TOI-3693 b,Confirmed,1.02,0.24,0.24,,,,1.124,0.023,0.023,8.088516,2.7e-05,2.7e-05,0.081,0.0012,0.0012,0.0,,,89.6,0.3,0.3,,2022,2022-05-25,,,,,,,,,,2458806.68164,0.00032,0.00032,,,,,,,0.17,0.1,0.1,,,,109.0,26.0,26.0,801.0,13.0,13.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-3693,15.654166679,51.303888898,,,,,,176.8,0.5,0.5,,,,,,,0.85,0.13,0.13,,,,,5246.0,110.0,110.0,,,
